Sno,Image_num,x,y,w,h,conf,gt_x,gt_y,gt_w,gt_h,iou
57,33,77.5,15.5,196.5,290.5,0.99,,,,,
58,33,79.0,111.0,189.0,355.0,0.99,,,,,
59,34,148.0,20.0,500.0,370.0,0.99,,,,,
60,35,283.0,38.5,501.0,221.5,0.99,,,,,
61,35,-5.5,3.5,331.5,356.5,0.91,,,,,
62,35,414.5,74.0,499.5,308.0,0.57,,,,,
63,36,7.5,41.0,480.5,327.0,0.99,,,,,
64,36,140.5,36.5,183.5,127.5,0.94,,,,,
65,36,174.0,41.0,202.0,121.0,0.87,,,,,
66,37,96.5,125.0,269.5,395.0,0.99,,,,,
67,38,-2.0,118.0,130.0,508.0,0.99,,,,,
68,38,49.5,157.0,368.5,505.0,0.86,,,,,
69,39,42.5,81.5,303.5,292.5,0.99,,,,,
70,40,179.5,36.5,298.5,195.5,0.99,,,,,
71,41,-4.0,-6.0,226.0,324.0,0.99,,,,,
72,41,332.0,82.5,474.0,349.5,0.99,,,,,
73,41,5.5,107.5,198.5,370.5,0.98,,,,,
74,42,127.0,109.5,229.0,322.5,0.99,,,,,
75,43,205.0,103.0,301.0,301.0,0.92,,,,,
76,43,104.0,124.0,340.0,308.0,0.88,,,,,
77,44,110.5,110.5,243.5,321.5,0.99,,,,,
78,45,16.5,23.0,115.5,295.0,0.99,,,,,
79,46,40.0,24.5,254.0,475.5,0.99,,,,,
80,47,142.5,88.5,433.5,275.5,0.99,,,,,
81,47,-1.5,90.5,175.5,355.5,0.99,,,,,
82,47,320.5,89.0,495.5,381.0,0.92,,,,,
83,48,21.0,82.5,121.0,249.5,0.99,,,,,
84,48,310.5,96.0,411.5,284.0,0.99,,,,,
85,48,387.0,82.5,489.0,277.5,0.99,,,,,
86,48,105.0,164.0,219.0,254.0,0.99,,,,,
87,48,209.0,164.0,319.0,256.0,0.99,,,,,
88,48,-2.5,244.0,410.5,372.0,0.99,,,,,
89,48,367.0,244.5,495.0,367.5,0.96,,,,,
90,48,115.5,85.5,198.5,218.5,0.95,,,,,
91,49,79.5,0.5,158.5,211.5,0.99,,,,,
92,50,289.5,156.5,432.5,261.5,0.99,,,,,
93,51,161.0,9.5,333.0,500.5,0.99,,,,,
94,51,1.5,114.5,186.5,491.5,0.98,,,,,
95,52,193.5,57.0,290.5,213.0,0.98,,,,,
96,52,109.0,112.0,337.0,318.0,0.95,,,,,
97,52,76.0,113.0,106.0,151.0,0.79,,,,,
98,52,199.5,55.0,282.5,211.0,0.53,,,,,
99,52,14.0,116.5,30.0,147.5,0.52,,,,,
100,53,161.5,110.0,434.5,292.0,0.98,,,,,
101,54,0.5,40.0,299.5,476.0,0.99,,,,,
102,55,33.5,64.5,328.5,437.5,0.69,,,,,
103,56,131.0,221.0,259.0,323.0,0.99,,,,,
104,56,17.0,183.5,53.0,346.5,0.99,,,,,
105,57,17.0,51.5,191.0,218.5,0.98,,,,,
106,58,333.5,104.5,486.5,309.5,0.99,,,,,
107,58,50.5,90.0,121.5,250.0,0.98,,,,,
108,59,187.0,42.0,291.0,210.0,0.99,,,,,
109,60,325.0,95.0,377.0,227.0,0.99,,,,,
110,60,92.5,142.5,135.5,217.5,0.99,,,,,
111,61,312.5,70.5,425.5,169.5,0.99,,,,,
112,61,127.5,63.0,314.5,257.0,0.99,,,,,
113,61,-7.5,85.0,169.5,251.0,0.98,,,,,
114,62,44.5,52.0,295.5,174.0,0.96,,,,,
115,63,221.0,125.0,329.0,197.0,0.99,,,,,
116,63,9.0,78.0,483.0,294.0,0.99,,,,,
117,63,416.5,57.0,479.5,189.0,0.86,,,,,
118,63,126.5,92.0,199.5,210.0,0.84,,,,,
119,64,209.0,28.5,305.0,209.5,0.99,,,,,
120,65,13.0,75.5,303.0,502.5,0.99,,,,,
121,66,34.5,16.0,385.5,506.0,0.99,,,,,
122,67,33.5,98.0,458.5,334.0,0.99,,,,,
123,68,92.5,82.0,185.5,256.0,0.98,,,,,
124,68,139.0,78.5,257.0,295.5,0.97,,,,,
125,68,67.0,112.5,515.0,337.5,0.96,,,,,
126,68,119.0,187.5,373.0,332.5,0.89,,,,,
127,69,347.0,7.0,467.0,345.0,0.99,,,,,
128,69,29.0,60.0,155.0,344.0,0.99,,,,,
129,69,136.0,74.5,230.0,337.5,0.99,,,,,
130,69,209.5,62.0,308.5,344.0,0.99,,,,,
131,69,283.5,27.5,394.5,348.5,0.97,,,,,
132,70,16.5,185.5,433.5,472.5,0.99,,,,,
133,70,156.0,169.0,318.0,463.0,0.96,,,,,
134,70,336.0,178.0,384.0,256.0,0.91,,,,,
135,70,440.5,219.5,463.5,298.5,0.82,,,,,
136,71,24.5,15.5,479.5,358.5,0.99,,,,,
137,72,28.0,-4.0,346.0,440.0,0.78,,,,,
138,74,193.0,69.5,371.0,308.5,0.99,,,,,
139,75,8.5,63.5,461.5,494.5,0.99,,,,,
140,77,276.0,49.5,480.0,370.5,0.99,,,,,
141,78,190.0,129.5,268.0,286.5,0.99,,,,,
142,78,190.5,200.5,257.5,307.5,0.90,,,,,
143,79,38.0,24.0,292.0,340.0,0.98,,,,,
144,80,140.5,56.5,313.5,357.5,0.99,,,,,
145,81,257.0,30.5,413.0,289.5,0.99,,,,,
146,82,16.0,14.0,306.0,480.0,0.99,,,,,
147,82,340.0,196.5,374.0,437.5,0.82,,,,,
148,83,168.0,334.0,296.0,440.0,0.99,,,,,
149,84,278.0,115.5,454.0,264.5,0.99,,,,,
150,84,2.0,158.0,202.0,374.0,0.96,,,,,
151,84,161.0,247.0,491.0,375.0,0.96,,,,,
152,84,201.0,160.0,273.0,264.0,0.56,,,,,
153,86,18.0,127.5,254.0,320.5,0.99,,,,,
154,87,112.0,158.5,216.0,391.5,0.99,,,,,
155,88,152.0,99.0,286.0,239.0,0.99,,,,,
156,88,351.0,73.5,503.0,292.5,0.99,,,,,
157,88,17.0,102.5,231.0,373.5,0.98,,,,,
158,88,148.5,211.5,493.5,376.5,0.63,,,,,
159,89,9.0,24.5,181.0,307.5,0.99,,,,,
160,89,21.0,165.5,165.0,230.5,0.89,,,,,
161,90,36.0,110.0,312.0,400.0,0.99,,,,,
162,91,354.5,2.5,499.5,205.5,0.96,,,,,
163,92,137.5,43.0,240.5,355.0,0.99,,,,,
164,92,332.5,162.5,457.5,381.5,0.77,,,,,
165,93,112.5,43.5,217.5,194.5,0.99,,,,,
166,93,154.0,24.0,194.0,118.0,0.74,,,,,
167,93,94.5,70.5,103.5,89.5,0.66,,,,,
168,93,293.0,72.5,305.0,83.5,0.61,,,,,
169,94,-0.5,96.0,296.5,496.0,0.99,,,,,
170,96,60.5,15.0,435.5,353.0,0.99,,,,,
171,97,146.0,111.0,252.0,371.0,0.99,,,,,
172,97,237.0,150.0,345.0,374.0,0.99,,,,,
173,98,15.5,198.5,260.5,341.5,0.96,,,,,
174,99,91.5,69.5,204.5,152.5,0.99,,,,,
175,99,139.0,35.0,417.0,347.0,0.89,,,,,
176,100,209.0,86.5,367.0,281.5,0.99,,,,,
177,101,34.5,9.0,443.5,205.0,0.94,,,,,
178,102,60.5,6.5,339.5,363.5,0.99,,,,,
179,103,1.5,48.5,186.5,377.5,0.99,,,,,
180,103,173.0,36.5,499.0,373.5,0.99,,,,,
181,104,92.5,19.5,341.5,322.5,0.99,,,,,
182,104,303.0,39.0,501.0,337.0,0.95,,,,,
183,105,170.0,34.5,350.0,201.5,0.92,,,,,
184,106,-5.5,172.0,193.5,252.0,0.99,,,,,
185,106,157.5,175.0,270.5,251.0,0.99,,,,,
186,106,294.5,174.0,489.5,294.0,0.99,,,,,
187,106,317.5,136.0,366.5,192.0,0.99,,,,,
188,106,275.5,138.0,326.5,258.0,0.98,,,,,
189,106,378.5,173.5,493.5,212.5,0.97,,,,,
190,106,10.5,145.0,49.5,279.0,0.93,,,,,
191,107,142.0,137.0,226.0,297.0,0.99,,,,,
192,108,172.5,67.0,483.5,303.0,0.61,,,,,
193,109,250.5,13.0,357.5,127.0,0.99,,,,,
194,109,6.5,85.5,185.5,324.5,0.99,,,,,
195,110,25.0,107.5,465.0,360.5,0.99,,,,,
196,111,20.0,83.5,198.0,250.5,0.99,,,,,
197,111,403.0,91.5,447.0,136.5,0.98,,,,,
198,111,368.0,109.5,388.0,170.5,0.98,,,,,
199,111,-0.5,144.5,24.5,191.5,0.97,,,,,
200,111,310.5,134.5,337.5,215.5,0.96,,,,,
201,111,363.5,153.0,398.5,201.0,0.52,,,,,
202,112,112.5,124.0,453.5,254.0,0.99,,,,,
203,112,71.5,187.5,94.5,240.5,0.99,,,,,
204,112,15.0,241.5,45.0,284.5,0.98,,,,,
205,112,317.5,190.0,362.5,330.0,0.93,,,,,
206,113,270.0,82.5,340.0,257.5,0.99,,,,,
207,114,74.0,122.5,192.0,293.5,0.99,,,,,
208,114,-1.0,167.5,109.0,376.5,0.99,,,,,
209,114,16.5,164.0,341.5,382.0,0.99,,,,,
210,114,334.5,168.0,495.5,368.0,0.99,,,,,
211,114,277.0,327.0,443.0,377.0,0.99,,,,,
212,114,271.0,104.5,345.0,173.5,0.98,,,,,
213,114,211.5,106.0,264.5,192.0,0.96,,,,,
214,114,345.0,119.0,375.0,177.0,0.90,,,,,
215,114,169.0,114.5,235.0,223.5,0.87,,,,,
216,114,351.5,123.5,408.5,212.5,0.72,,,,,
217,115,13.0,5.5,479.0,382.5,0.99,,,,,
218,116,161.5,13.0,496.5,313.0,0.74,,,,,
219,117,55.0,59.5,505.0,392.5,0.99,,,,,
220,118,202.0,54.5,326.0,259.5,0.99,,,,,
221,119,218.5,71.5,299.5,372.5,0.99,,,,,
222,119,293.5,87.0,372.5,361.0,0.98,,,,,
223,119,352.0,101.0,436.0,341.0,0.97,,,,,
224,119,64.0,100.5,184.0,381.5,0.97,,,,,
225,119,162.5,95.5,239.5,374.5,0.97,,,,,
226,119,108.5,26.5,165.5,109.5,0.94,,,,,
227,119,153.5,39.0,188.5,113.0,0.93,,,,,
228,119,236.0,46.5,276.0,109.5,0.91,,,,,
229,119,180.5,46.0,235.5,144.0,0.91,,,,,
230,119,267.0,53.0,299.0,133.0,0.89,,,,,
231,119,328.0,47.5,388.0,132.5,0.89,,,,,
232,119,0.0,70.5,68.0,287.5,0.79,,,,,
233,119,416.5,153.0,475.5,237.0,0.75,,,,,
234,121,36.5,19.0,189.5,509.0,0.99,,,,,
235,121,134.0,464.5,144.0,489.5,0.95,,,,,
236,121,148.5,464.5,155.5,485.5,0.91,,,,,
237,121,159.0,467.5,165.0,486.5,0.86,,,,,
238,121,167.0,469.0,173.0,487.0,0.81,,,,,
239,121,173.5,467.5,180.5,488.5,0.78,,,,,
240,121,184.0,465.5,190.0,488.5,0.69,,,,,
241,121,194.0,472.5,200.0,491.5,0.66,,,,,
242,121,200.0,475.0,206.0,491.0,0.66,,,,,
243,121,212.0,473.0,218.0,491.0,0.64,,,,,
244,121,219.5,471.5,224.5,492.5,0.62,,,,,
245,121,256.0,475.5,264.0,492.5,0.57,,,,,
246,122,61.5,-1.0,324.5,351.0,0.99,,,,,
247,123,91.5,100.0,214.5,306.0,0.99,,,,,
248,124,265.0,102.0,369.0,204.0,0.99,,,,,
249,124,288.0,108.0,440.0,260.0,0.99,,,,,
250,124,257.0,183.5,419.0,352.5,0.99,,,,,
251,124,215.0,102.0,273.0,192.0,0.99,,,,,
252,124,272.0,98.5,356.0,199.5,0.91,,,,,
253,125,174.0,70.5,304.0,315.5,0.95,,,,,
254,126,145.0,-16.5,299.0,538.5,0.99,,,,,
255,126,264.5,-3.5,409.5,505.5,0.55,,,,,
256,128,34.0,509.5,170.0,790.5,0.75,,,,,
257,128,994.5,440.0,1261.5,1450.0,0.62,,,,,
258,129,364.0,23.5,500.0,428.5,0.98,,,,,
259,129,216.0,17.5,324.0,352.5,0.57,,,,,
260,131,575.5,193.5,644.5,422.5,0.94,,,,,
261,133,263.0,89.5,707.0,850.5,0.99,,,,,
262,134,133.5,137.5,396.5,942.5,0.99,,,,,
263,134,881.5,144.0,1096.5,930.0,0.99,,,,,
264,134,485.0,393.5,697.0,968.5,0.98,,,,,
265,136,158.5,96.5,267.5,381.5,0.98,,,,,
266,136,302.5,114.5,415.5,351.5,0.97,,,,,
267,139,442.5,311.0,611.5,799.0,0.96,,,,,
268,139,582.5,274.5,801.5,821.5,0.91,,,,,
269,139,238.5,350.5,391.5,927.5,0.79,,,,,
270,139,1356.0,304.0,1554.0,972.0,0.73,,,,,
271,140,198.5,127.0,375.5,339.0,0.97,,,,,
272,141,131.0,427.5,753.0,1936.5,0.99,,,,,
273,141,1245.5,328.5,1636.5,2005.5,0.71,,,,,
274,142,126.0,8.0,330.0,664.0,0.98,,,,,
275,142,571.5,-15.0,774.5,671.0,0.95,,,,,
276,143,623.0,95.5,831.0,520.5,0.93,,,,,
277,143,452.5,140.0,549.5,520.0,0.86,,,,,
278,144,1793.0,35.5,2037.0,856.5,0.98,,,,,
279,144,1992.0,8.5,2232.0,891.5,0.97,,,,,
280,144,1603.0,145.5,1885.0,1090.5,0.90,,,,,
281,144,2303.5,233.5,2578.5,1096.5,0.53,,,,,
282,145,259.5,13.5,420.5,406.5,0.97,,,,,
283,145,457.0,204.5,615.0,417.5,0.91,,,,,
284,145,185.5,291.0,222.5,337.0,0.60,,,,,
285,146,85.0,28.5,139.0,183.5,0.95,,,,,
286,146,88.5,34.5,133.5,165.5,0.83,,,,,
287,146,49.0,50.5,93.0,213.5,0.76,,,,,
288,146,132.5,74.5,163.5,207.5,0.67,,,,,
289,147,495.0,516.0,1033.0,2224.0,0.89,,,,,
290,148,30.5,173.0,123.5,495.0,0.62,,,,,
291,149,206.5,155.0,359.5,531.0,0.80,,,,,
292,149,378.0,73.5,488.0,612.5,0.71,,,,,
293,149,11.5,236.5,48.5,377.5,0.56,,,,,
294,149,43.0,236.0,87.0,400.0,0.51,,,,,
295,150,41.5,224.5,124.5,339.5,0.83,,,,,
296,150,125.5,225.5,204.5,358.5,0.65,,,,,
297,150,121.0,191.5,275.0,408.5,0.62,,,,,
298,151,79.5,10.5,138.5,149.5,0.88,,,,,
299,152,128.0,6.0,212.0,194.0,0.89,,,,,
300,152,56.5,32.5,127.5,189.5,0.56,,,,,
301,154,31.5,15.5,76.5,168.5,0.99,,,,,
302,154,191.0,18.5,249.0,159.5,0.98,,,,,
303,154,78.0,36.0,126.0,164.0,0.89,,,,,
304,155,39.5,7.5,140.5,270.5,0.84,,,,,
305,156,201.5,24.5,338.5,325.5,0.98,,,,,
306,156,51.5,68.0,188.5,396.0,0.98,,,,,
307,156,155.5,57.0,230.5,267.0,0.96,,,,,
308,156,10.0,114.5,66.0,233.5,0.95,,,,,
309,156,404.0,61.5,478.0,354.5,0.93,,,,,
310,158,57.5,47.5,396.5,422.5,0.97,,,,,
311,160,49.5,109.5,936.5,864.5,0.99,,,,,
312,161,38.0,194.0,342.0,702.0,0.99,,,,,
313,162,85.5,52.5,396.5,599.5,0.99,,,,,
314,164,402.5,58.5,489.5,351.5,0.70,,,,,
315,165,251.5,14.0,416.5,356.0,0.99,,,,,
316,167,297.0,21.0,435.0,331.0,0.96,,,,,
317,168,222.0,56.5,452.0,631.5,0.92,,,,,
318,169,318.5,70.0,1241.5,1508.0,0.98,,,,,
319,173,67.0,21.5,225.0,632.5,0.99,,,,,
320,173,292.0,22.5,450.0,627.5,0.99,,,,,
321,173,380.5,3.0,493.5,605.0,0.80,,,,,
322,174,399.0,70.5,777.0,641.5,0.99,,,,,
323,174,911.0,510.0,1079.0,670.0,0.99,,,,,
324,175,96.0,43.5,420.0,384.5,0.51,,,,,
325,176,58.5,47.0,395.5,423.0,0.96,,,,,
326,177,540.0,166.5,842.0,637.5,0.98,,,,,
327,177,327.0,303.5,897.0,674.5,0.91,,,,,
328,177,951.0,343.5,1003.0,490.5,0.64,,,,,
329,178,149.5,30.0,380.5,326.0,0.87,,,,,
330,178,71.0,275.0,215.0,769.0,0.76,,,,,
331,178,107.0,296.0,359.0,764.0,0.72,,,,,
332,179,730.5,141.0,951.5,669.0,0.99,,,,,
333,179,475.0,265.5,575.0,612.5,0.98,,,,,
334,179,567.5,286.5,680.5,617.5,0.87,,,,,
335,179,710.0,264.0,808.0,644.0,0.86,,,,,
336,180,165.0,142.0,557.0,914.0,0.87,,,,,
337,181,666.5,327.0,889.5,665.0,0.98,,,,,
338,181,845.0,103.5,939.0,282.5,0.93,,,,,
339,181,782.5,106.0,863.5,292.0,0.87,,,,,
340,181,8.0,315.0,128.0,605.0,0.75,,,,,
341,181,-1.5,478.0,63.5,662.0,0.56,,,,,
342,182,518.5,45.0,693.5,463.0,0.99,,,,,
343,182,716.5,29.5,987.5,454.5,0.97,,,,,
344,182,30.0,111.0,114.0,375.0,0.97,,,,,
345,182,217.5,83.0,312.5,405.0,0.97,,,,,
346,182,528.5,26.5,687.5,461.5,0.93,,,,,
347,182,131.5,117.5,210.5,402.5,0.92,,,,,
348,183,3.0,24.0,253.0,764.0,0.92,,,,,
349,183,301.0,157.0,527.0,703.0,0.82,,,,,
350,183,937.5,335.0,1002.5,535.0,0.74,,,,,
351,183,529.5,257.0,680.5,657.0,0.65,,,,,
352,183,672.5,282.5,785.5,629.5,0.63,,,,,
353,183,753.0,286.0,859.0,612.0,0.60,,,,,
354,184,193.0,50.0,493.0,1018.0,0.99,,,,,
355,184,434.5,114.5,701.5,975.5,0.98,,,,,
356,184,554.5,87.0,825.5,1013.0,0.96,,,,,
357,184,678.0,147.0,940.0,1031.0,0.94,,,,,
358,184,935.0,231.5,1213.0,1030.5,0.89,,,,,
359,185,-10.5,42.5,304.5,693.5,0.99,,,,,
360,185,272.0,89.5,522.0,632.5,0.99,,,,,
361,185,410.5,208.0,567.5,632.0,0.86,,,,,
362,185,333.5,298.0,344.5,328.0,0.54,,,,,
363,185,340.0,279.5,358.0,334.5,0.54,,,,,
364,185,368.5,295.5,381.5,324.5,0.50,,,,,
365,187,12.0,2.0,194.0,360.0,0.99,,,,,
366,187,195.0,163.0,319.0,355.0,0.99,,,,,
367,187,522.0,71.0,558.0,155.0,0.99,,,,,
368,187,139.5,180.5,220.5,345.5,0.93,,,,,
369,187,206.5,164.5,283.5,361.5,0.82,,,,,
370,187,249.0,169.0,335.0,347.0,0.78,,,,,
371,187,331.5,174.0,418.5,350.0,0.77,,,,,
372,187,400.5,189.0,473.5,373.0,0.76,,,,,
373,188,127.5,8.5,306.5,491.5,0.99,,,,,
374,188,34.0,148.5,170.0,535.5,0.99,,,,,
375,188,275.0,199.0,429.0,509.0,0.99,,,,,
376,188,405.5,142.0,436.5,218.0,0.99,,,,,
377,188,294.0,127.0,356.0,269.0,0.90,,,,,
378,188,445.0,158.5,463.0,201.5,0.66,,,,,
379,189,268.0,54.5,500.0,727.5,0.99,,,,,
380,189,653.5,75.0,868.5,727.0,0.99,,,,,
381,190,64.0,48.0,272.0,446.0,0.99,,,,,
382,191,77.5,37.0,244.5,357.0,0.99,,,,,
383,191,231.5,65.0,392.5,353.0,0.99,,,,,
384,191,375.5,77.0,516.5,357.0,0.96,,,,,
385,192,162.5,47.0,275.5,377.0,0.99,,,,,
386,192,43.0,84.5,167.0,365.5,0.98,,,,,
387,192,262.5,77.0,379.5,365.0,0.98,,,,,
388,192,361.0,76.5,489.0,365.5,0.97,,,,,
389,192,445.0,86.5,565.0,361.5,0.97,,,,,
390,192,149.0,149.5,195.0,230.5,0.90,,,,,
391,192,540.0,93.0,606.0,353.0,0.51,,,,,
392,193,354.5,181.0,503.5,433.0,0.99,,,,,
393,193,97.5,197.0,238.5,443.0,0.99,,,,,
394,193,439.0,113.5,471.0,194.5,0.99,,,,,
395,193,373.5,139.5,400.5,198.5,0.96,,,,,
396,193,399.0,131.0,427.0,195.0,0.94,,,,,
397,193,473.5,109.5,508.5,208.5,0.92,,,,,
398,193,342.0,137.5,372.0,224.5,0.86,,,,,
399,193,512.5,144.0,537.5,212.0,0.84,,,,,
400,194,-0.5,103.0,610.5,697.0,0.99,,,,,
401,195,-1.0,129.0,331.0,687.0,0.99,,,,,
402,195,206.5,95.5,595.5,696.5,0.99,,,,,
403,196,183.0,87.0,299.0,407.0,0.99,,,,,
404,196,261.5,79.5,412.5,416.5,0.98,,,,,
405,196,74.0,236.0,230.0,326.0,0.93,,,,,
406,196,149.0,73.5,207.0,216.5,0.59,,,,,
407,197,337.5,66.0,466.5,360.0,0.98,,,,,
408,197,43.0,110.0,459.0,552.0,0.97,,,,,
409,197,351.0,70.0,457.0,354.0,0.87,,,,,
410,197,576.0,249.0,606.0,325.0,0.75,,,,,
411,198,134.0,64.5,394.0,485.5,0.99,,,,,
412,198,536.0,155.5,662.0,486.5,0.99,,,,,
413,198,384.5,259.0,547.5,539.0,0.97,,,,,
414,198,92.5,201.5,147.5,276.5,0.97,,,,,
415,198,487.5,194.0,554.5,334.0,0.94,,,,,
416,198,317.0,189.0,375.0,369.0,0.92,,,,,
417,198,421.5,163.0,494.5,397.0,0.91,,,,,
418,198,371.5,186.0,426.5,406.0,0.88,,,,,
419,198,548.0,149.0,654.0,495.0,0.86,,,,,
420,199,115.5,27.5,308.5,206.5,0.59,,,,,
421,200,189.0,253.0,473.0,697.0,0.99,,,,,
422,200,32.5,231.0,53.5,277.0,0.50,,,,,
423,202,6.5,111.0,303.5,695.0,0.99,,,,,
424,202,258.5,58.5,553.5,763.5,0.97,,,,,
425,203,102.0,31.0,250.0,169.0,0.99,,,,,
426,205,568.0,142.0,728.0,550.0,0.99,,,,,
427,205,646.5,121.0,805.5,573.0,0.99,,,,,
428,205,296.0,53.0,416.0,389.0,0.97,,,,,
429,205,507.5,207.5,540.5,308.5,0.96,,,,,
430,205,548.5,216.5,583.5,303.5,0.95,,,,,
431,205,378.5,225.5,419.5,348.5,0.91,,,,,
432,205,35.5,188.5,122.5,415.5,0.86,,,,,
433,205,570.5,132.0,689.5,570.0,0.77,,,,,
434,205,678.0,133.0,790.0,569.0,0.72,,,,,
435,205,832.5,236.5,843.5,263.5,0.57,,,,,
436,206,321.0,44.5,585.0,933.5,0.91,,,,,
437,207,12.0,173.5,110.0,472.5,0.99,,,,,
438,207,90.5,173.5,181.5,500.5,0.99,,,,,
439,207,149.0,55.5,345.0,562.5,0.99,,,,,
440,207,273.0,231.0,383.0,469.0,0.99,,,,,
441,207,336.0,325.5,460.0,484.5,0.99,,,,,
442,207,334.5,402.0,459.5,538.0,0.95,,,,,
443,207,387.0,230.5,433.0,337.5,0.95,,,,,
444,207,20.5,194.5,107.5,459.5,0.89,,,,,
445,208,103.5,105.0,318.5,885.0,0.97,,,,,
446,208,203.0,131.0,431.0,921.0,0.95,,,,,
447,208,355.0,215.0,565.0,1003.0,0.74,,,,,
448,208,3.0,254.0,37.0,366.0,0.73,,,,,
449,209,132.5,201.0,155.5,263.0,0.99,,,,,
450,209,156.5,203.0,177.5,261.0,0.99,,,,,
451,210,256.5,86.0,715.5,674.0,0.99,,,,,
452,211,361.5,133.5,1012.5,752.5,0.99,,,,,
453,216,489.0,230.5,1021.0,1349.5,0.99,,,,,
454,217,420.0,21.5,674.0,456.5,0.99,,,,,
455,217,6.5,57.0,241.5,887.0,0.98,,,,,
456,219,74.5,21.0,205.5,209.0,0.99,,,,,
457,219,4.0,57.0,82.0,211.0,0.83,,,,,
458,221,483.0,62.5,769.0,639.5,0.99,,,,,
459,225,203.0,399.0,403.0,1137.0,0.98,,,,,
460,225,225.0,359.0,373.0,1181.0,0.52,,,,,
461,226,456.0,35.0,580.0,375.0,0.99,,,,,
462,226,586.5,-13.5,715.5,411.5,0.78,,,,,
463,227,117.5,32.5,188.5,289.5,0.99,,,,,
464,227,187.0,26.5,293.0,391.5,0.99,,,,,
465,227,287.5,41.5,376.5,374.5,0.99,,,,,
466,227,7.5,84.0,146.5,392.0,0.93,,,,,
467,228,600.5,57.0,749.5,393.0,0.99,,,,,
468,228,426.5,88.0,533.5,388.0,0.99,,,,,
469,228,1.5,221.5,38.5,304.5,0.87,,,,,
470,228,55.5,213.0,98.5,309.0,0.70,,,,,
471,228,113.0,201.0,151.0,319.0,0.61,,,,,
472,228,143.0,189.0,181.0,329.0,0.55,,,,,
473,228,196.0,185.5,262.0,334.5,0.54,,,,,
474,228,252.5,167.5,327.5,340.5,0.53,,,,,
475,229,236.5,250.5,481.5,715.5,0.91,,,,,
476,229,481.0,315.5,683.0,736.5,0.86,,,,,
477,230,191.0,23.5,699.0,988.5,0.99,,,,,
